Recency,Frequency,MonetaryValue,Cluster,Segment
326,12,77556.46,1,Champions
2,8,5633.32,1,Champions
75,5,2019.4,2,Potential Loyalists
19,4,4428.69,2,Potential Loyalists
310,1,334.4,0,At-Risk
375,1,300.93,0,At-Risk
36,10,2849.84,1,Champions
204,2,406.76,0,At-Risk
232,1,1079.4,0,At-Risk
214,2,947.61,0,At-Risk
23,6,6373.68,1,Champions
33,3,18287.66,1,Champions
2,5,3887.07,1,Champions
58,10,8935.94,1,Champions
52,8,4252.89,1,Champions
287,4,511.25,0,At-Risk
3,11,5356.23,1,Champions
110,2,552.0,0,At-Risk
8,4,1313.1,2,Potential Loyalists
291,2,641.38,0,At-Risk
634,1,500.24,0,At-Risk
4,1,168.9,2,Potential Loyalists
628,1,917.6999999999999,0,At-Risk
413,3,1791.15,2,Potential Loyalists
51,7,4320.31,2,Potential Loyalists
45,5,4067.38,2,Potential Loyalists
72,3,1298.04,2,Potential Loyalists
311,3,1127.65,0,At-Risk
25,4,2989.2200000000003,2,Potential Loyalists
11,2,457.5,2,Potential Loyalists
390,2,503.15,0,At-Risk
315,4,3426.32,2,Potential Loyalists
130,2,5416.32,2,Potential Loyalists
82,4,1620.22,2,Potential Loyalists
22,11,9676.300000000001,1,Champions
5,5,1845.31,2,Potential Loyalists
185,5,1850.56,2,Potential Loyalists
29,2,585.27,2,Potential Loyalists
379,1,1938.4,0,At-Risk
338,2,660.8,0,At-Risk
415,1,143.94,0,At-Risk
16,8,3901.11,1,Champions
403,3,1433.33,0,At-Risk
80,1,549.84,0,At-Risk
22,6,2773.42,2,Potential Loyalists
591,1,234.75000000000003,0,At-Risk
72,6,2399.4500000000003,2,Potential Loyalists
64,2,1272.48,2,Potential Loyalists
19,15,5067.27,1,Champions
674,1,931.43,0,At-Risk
36,2,2409.9,2,Potential Loyalists
46,1,1635.6599999999999,2,Potential Loyalists
119,7,1962.3,2,Potential Loyalists
414,1,205.25,0,At-Risk
303,1,84.3,0,At-Risk
323,6,1256.9,2,Potential Loyalists
50,2,1019.36,2,Potential Loyalists
682,1,63.24,0,At-Risk
149,1,1710.39,0,At-Risk
22,5,6390.36,1,Champions
50,5,1708.1200000000001,2,Potential Loyalists
33,8,4340.7699999999995,1,Champions
79,7,23419.29,1,Champions
309,3,1013.71,0,At-Risk
410,1,346.9,0,At-Risk
75,6,2596.93,2,Potential Loyalists
67,4,999.45,2,Potential Loyalists
217,6,952.41,2,Potential Loyalists
24,28,144458.37,1,Champions
657,1,202.56,0,At-Risk
3,20,6816.91,1,Champions
113,4,2021.2,2,Potential Loyalists
386,2,503.01,0,At-Risk
64,1,600.39,0,At-Risk
16,6,1098.6,2,Potential Loyalists
96,17,5231.8,1,Champions
1,10,2622.39,1,Champions
163,4,3340.03,2,Potential Loyalists
78,2,1741.41,2,Potential Loyalists
195,2,1345.21,2,Potential Loyalists
22,3,1129.3,2,Potential Loyalists
26,9,7956.46,1,Champions
9,8,7485.91,1,Champions
43,1,256.4,0,At-Risk
36,27,10857.97,1,Champions
43,5,5059.32,2,Potential Loyalists
1,10,20581.26,1,Champions
85,3,1103.43,2,Potential Loyalists
80,6,13925.93,1,Champions
100,1,509.01,0,At-Risk
2,39,12683.4,1,Champions
14,2,2906.85,2,Potential Loyalists
683,2,1158.18,0,At-Risk
462,2,859.2,0,At-Risk
367,1,347.1,0,At-Risk
3,1,172.06,2,Potential Loyalists
732,1,485.31,0,At-Risk
21,5,5005.46,2,Potential Loyalists
22,2,434.98,2,Potential Loyalists
58,1,1002.3100000000001,2,Potential Loyalists
243,1,476.49,0,At-Risk
44,1,449.45,0,At-Risk
22,6,4835.89,1,Champions
156,5,688.2,2,Potential Loyalists
11,8,12669.88,1,Champions
17,2,430.57,2,Potential Loyalists
134,1,707.09,0,At-Risk
56,5,16679.78,1,Champions
73,10,5879.95,1,Champions
44,3,3181.04,2,Potential Loyalists
66,8,2995.91,2,Potential Loyalists
71,4,1777.49,2,Potential Loyalists
605,1,454.36,0,At-Risk
456,1,326.65,0,At-Risk
94,2,826.88,2,Potential Loyalists
19,2,1189.59,2,Potential Loyalists
